País,Ano,Volume Litro,Valor
Suíça,2018,5,4.0
Tailândia,2018,96,108.0
Taiwan (Formosa),2018,1809,4834.0
Turquia,2018,108,100.0
"Alemanha, República Democrática da",2019,12,24.0
Antígua e Barbuda,2019,95,99.0
Argentina,2019,3504,3327.0
Austrália,2019,480,1664.0
Bahamas,2019,168,169.0
Bélgica,2019,24,19.0
Cabo Verde,2019,126,236.0
China,2019,6,7.0
Chipre,2019,138,196.0
Cingapura,2019,676,674.0
Dinamarca,2019,84,118.0
Estados Unidos,2019,455,1963.0
Grécia,2019,66,58.0
Hong Kong,2019,818,772.0
Ilha de Man,2019,72,59.0
India,2019,66,83.0
Japão,2019,1381569,3277767.0
Libéria,2019,520,638.0
Líbia,2019,207360,121731.0
Malásia,2019,9275,24115.0
Malta,2019,276,277.0
"Marshall, Ilhas",2019,817,948.0
México,2019,24602,67789.0
Países Baixos,2019,144,151.0
Panamá,2019,691,801.0
Paraguai,2019,23723,24609.0
Portugal,2019,24,24.0
Reino Unido,2019,672,1773.0
República Dominicana,2019,29680,113080.0
Rússia,2019,72,83.0
Sri Lanka,2019,49,142.0
Suriname,2019,3180,8586.0
Tailândia,2019,84,82.0
Turquia,2019,24,30.0
"Alemanha, República Democrática da",2020,86,44.0
Angola,2020,17766,21627.0
Antígua e Barbuda,2020,36,25.0
Argentina,2020,5140,8209.0
Aruba,2020,450,788.0
Austrália,2020,1638,3939.0
Bahamas,2020,34,41.0
Bélgica,2020,117,196.0
Bermudas,2020,24,27.0
Bolívia,2020,21435,26745.0
Cabo Verde,2020,270,224.0
Camarões,2020,20,29.0
Canadá,2020,14943,19320.0
Catar,2020,5,47.0
Chile,2020,5320,6612.0
China,2020,240845,413169.0
Chipre,2020,252,315.0
Colômbia,2020,1,2.0
Curaçao,2020,1727,2012.0
Dinamarca,2020,90,143.0
Emirados Árabes Unidos,2020,396,455.0
Equador,2020,14268,21675.0
Estados Unidos,2020,73431,122865.0
Filipinas,2020,109,95.0
França,2020,12,38.0
Grécia,2020,392,371.0
Guiana,2020,350,1078.0
Haiti,2020,420,438.0
Hong Kong,2020,1170,1126.0
Ilha de Man,2020,24,22.0
Irã,2020,150,206.0
Japão,2020,481953,1128364.0
Líbano,2020,9,4.0
Libéria,2020,842,1194.0
Líbia,2020,16587,22232.0
Malásia,2020,10070,22066.0
Malta,2020,2364,2825.0
"Marshall, Ilhas",2020,1479,1844.0
México,2020,46857,112458.0
Mônaco,2020,36,37.0
Noruega,2020,554,580.0
Países Baixos,2020,84,109.0
Panamá,2020,1335,1714.0
Paraguai,2020,216654,228263.0
Portugal,2020,105284,96479.0
Reino Unido,2020,1464,2373.0
República Dominicana,2020,14840,56540.0
Singapura,2020,3526,12989.0
Suriname,2020,13030,31236.0
Tailândia,2020,1278,5183.0
Taiwan (Formosa),2020,58358,107799.0
Turquia,2020,48,54.0
Venezuela,2020,240,230.0
"Alemanha, República Democrática da",2021,13,4.0
Angola,2021,6073,5915.0
Antígua e Barbuda,2021,120,168.0
Argentina,2021,7325,12515.0
Austrália,2021,43971,67168.0
Bahamas,2021,542,662.0
Barbados,2021,75,192.0
Bolívia,2021,15700,19860.0
Canadá,2021,4476,5709.0
Chile,2021,16845,19418.0
China,2021,667684,1182122.0
